Date,Price,Open,High,Low,Vol.,Change %
24-May-19,68.34,67.41,68.58,67.36,-,1.21%
23-May-19,67.52,66.78,68.22,66.53,-,1.20%
22-May-19,66.72,67.41,67.45,66.12,-,-0.94%
21-May-19,67.35,67.98,68.22,67.02,-,-0.91%
20-May-19,67.97,66.25,67.97,65.85,-,3.22%
17-May-19,65.85,66.64,66.78,65.84,-,-1.54%
16-May-19,66.88,66.62,67.16,66.41,-,0.71%
15-May-19,66.41,66.69,67.27,65.8,-,-0.46%
14-May-19,66.72,65.81,67.14,64.51,-,1.26%
13-May-19,65.89,68.57,68.58,65.49,-,-3.77%
10-May-19,68.47,70.59,71.5,68.35,-,-2.35%
9-May-19,70.12,72.23,72.34,69.65,-,-3.06%
8-May-19,72.33,73.19,73.62,71.93,-,-1.13%
7-May-19,73.16,73.69,74.72,73.16,-,-0.44%
6-May-19,73.48,75.08,75.08,73.04,-,-2.96%
3-May-19,75.72,75.45,76.31,75.44,-,0.37%
2-May-19,75.44,76.36,76.59,75.38,-,-1.57%
1-May-19,76.64,76.71,76.88,75.66,-,-0.17%
30-Apr-19,76.77,76.88,77.32,76.56,-,-0.26%
29-Apr-19,76.97,77.75,78.09,76.85,-,-0.89%
26-Apr-19,77.66,78.36,78.39,77.28,-,-0.86%
25-Apr-19,78.33,77.15,78.47,77.15,-,1.53%
24-Apr-19,77.15,77.79,77.93,77.06,-,-0.89%
23-Apr-19,77.84,78.43,78.5,77.17,-,-0.74%
22-Apr-19,78.42,78.44,78.83,78.16,-,1.40%
18-Apr-19,77.34,78.03,78.22,77.02,-,-1.06%
17-Apr-19,78.17,77.91,78.44,77.52,-,0.31%
16-Apr-19,77.93,76.61,78.22,76.6,-,1.66%
15-Apr-19,76.66,78.12,79.16,75.72,-,-1.78%
12-Apr-19,78.05,77.06,78.65,76.89,-,1.36%
11-Apr-19,77,77.61,77.94,76.87,-,-0.75%
10-Apr-19,77.58,78.07,78.31,77.32,-,-0.60%
9-Apr-19,78.05,78.82,79.31,77.6,-,-1.08%
8-Apr-19,78.9,78.34,79.08,77.88,-,0.69%
5-Apr-19,78.36,77.23,78.48,77.09,-,1.23%
4-Apr-19,77.41,76.94,77.78,76.94,-,0.42%
3-Apr-19,77.09,77.31,77.94,76.91,-,-0.27%
2-Apr-19,77.3,77.28,77.36,76.49,-,0.04%
1-Apr-19,77.27,77.61,77.89,77.19,-,-0.40%
29-Mar-19,77.58,75.87,77.8,75.73,-,2.16%
28-Mar-19,75.94,76.93,77.15,75.53,-,-1.33%
27-Mar-19,76.96,77.76,77.78,76.61,-,-1.18%
26-Mar-19,77.88,77.53,77.98,77.43,-,0.15%
25-Mar-19,77.76,76.72,77.76,76.18,-,1.53%
22-Mar-19,76.59,76.97,77.58,76.06,-,-0.74%
21-Mar-19,77.16,75.67,77.83,75.38,-,2.17%
20-Mar-19,75.52,75.5,75.88,75.17,-,-0.15%
19-Mar-19,75.63,75.23,76.35,75.22,-,0.44%
18-Mar-19,75.3,75.59,75.91,74.95,-,-0.28%
15-Mar-19,75.51,74.33,75.83,74.33,-,1.57%
14-Mar-19,74.34,75.63,75.88,74.03,-,-1.85%
13-Mar-19,75.74,74.86,75.98,74.72,-,1.22%
12-Mar-19,74.83,73.21,75,73.18,-,2.20%
11-Mar-19,73.22,73.31,73.85,73.06,-,-0.15%
8-Mar-19,73.33,73.18,73.78,72.52,-,0.29%
7-Mar-19,73.12,74.34,74.63,73.06,-,-1.63%
6-Mar-19,74.33,74.52,74.89,74.05,-,-0.31%
5-Mar-19,74.56,73.11,74.7,73.11,-,1.94%
4-Mar-19,73.14,74.01,74.63,73.12,-,-1.02%
1-Mar-19,73.89,72.61,73.95,72.61,-,1.54%
28-Feb-19,72.77,72.32,73.13,72.08,-,0.46%
27-Feb-19,72.44,71.94,72.74,71.92,-,0.64%
26-Feb-19,71.98,72.78,73.03,71.91,-,-1.53%
25-Feb-19,73.1,73.56,73.82,72.87,-,0.25%
22-Feb-19,72.92,74.13,75.16,71.88,-,-1.42%
21-Feb-19,73.97,72.1,74.34,71.91,-,2.52%
20-Feb-19,72.15,72.1,72.67,72.07,-,-0.10%
19-Feb-19,72.22,72.08,72.77,71.94,-,0.46%
18-Feb-19,71.89,71.89,71.89,71.89,-,2.38%
15-Feb-19,70.22,70.09,70.5,69.71,-,0.14%
14-Feb-19,70.12,69.78,70.39,69.54,-,0.44%
13-Feb-19,69.81,69.75,70.63,69.66,-,0.01%
12-Feb-19,69.8,70.63,70.92,69.72,-,-0.96%
11-Feb-19,70.48,72.45,72.7,70.31,-,-2.76%
8-Feb-19,72.48,72.76,73.02,72.47,-,-0.40%
7-Feb-19,72.77,73.65,73.86,72.48,-,-1.26%
6-Feb-19,73.7,73.42,74.11,73.09,-,0.29%
5-Feb-19,73.49,72.81,73.75,72.66,-,1.06%
4-Feb-19,72.72,73.69,73.87,72.67,-,-1.24%
1-Feb-19,73.63,74.35,74.73,73.58,-,-0.82%
31-Jan-19,74.24,74.22,74.85,74,-,-0.23%
30-Jan-19,74.41,74.01,74.53,73.75,-,0.32%
29-Jan-19,74.17,73.64,74.45,73.5,-,0.57%
28-Jan-19,73.75,74.06,74.13,73.16,-,-0.57%
25-Jan-19,74.17,73.39,74.22,73.31,-,1.34%
24-Jan-19,73.19,73.53,73.9,73.03,-,-0.54%
23-Jan-19,73.59,73.19,74.27,73.03,-,0.70%
22-Jan-19,73.08,74.22,74.28,72.77,-,-0.85%
21-Jan-19,73.71,73.71,73.71,73.71,-,-0.35%
18-Jan-19,73.97,74.3,74.63,73.77,-,-0.43%
17-Jan-19,74.29,73.38,74.6,73.35,-,1.42%
16-Jan-19,73.25,72.24,73.55,72.24,-,1.29%
15-Jan-19,72.32,72.93,73.46,72.25,-,-0.92%
14-Jan-19,72.99,72.62,73.58,72.43,-,0.65%
11-Jan-19,72.52,72.86,73.26,72.34,-,-0.47%
10-Jan-19,72.86,73.03,73.84,72.45,-,-0.36%
9-Jan-19,73.12,71.81,73.62,71.74,-,2.17%
8-Jan-19,71.57,72.94,73.85,71.55,-,-1.81%
7-Jan-19,72.89,72.63,73.9,72.55,-,0.57%
4-Jan-19,72.48,71.02,73.36,70.97,-,2.26%
3-Jan-19,70.88,70.82,71.99,70.66,-,0.16%
2-Jan-19,70.77,72.36,72.59,70.77,-,-2.08%
31-Dec-18,72.27,72.29,72.85,72.1,-,0.00%
