oil,DATE_year,DATE_month,DATE_day,gold,coffee,corn,cotton,lumber,wheat,snp
46.11,2016,5,11,"1,272.60",127.9,374.0,60.69,307.0,459.0,2064.459961
46.56,2016,5,12,"1,277.30",128.2,385.25,60.73,302.9,468.0,2064.110107
46.23,2016,5,13,"1,278.00",128.8,382.0,60.86,306.0,474.75,2046.609985
47.94,2016,5,17,"1,280.00",131.85,397.0,62.39,323.8,481.5,2047.209961
48.76,2016,5,18,"1,258.30",129.3,399.5,62.17,318.9,481.0,2047.630005
47.95,2016,5,19,"1,256.10",123.95,390.0,61.17,309.4,469.25,2040.040039
47.89,2016,5,20,"1,252.15",124.7,394.5,61.75,307.3,468.25,2052.320068
48.01,2016,5,23,"1,250.90",122.15,397.75,61.52,298.1,462.5,2048.040039
48.76,2016,5,24,"1,226.50",121.8,397.5,63.2,301.0,464.5,2076.060059
49.29,2016,5,25,"1,223.50",121.4,404.75,62.88,302.9,466.25,2090.540039
49.56,2016,5,26,"1,221.60",121.5,408.25,64.33,308.5,480.75,2090.100098
49.25,2016,5,27,"1,207.05",121.3,412.75,64.34,309.3,481.5,2099.060059
49.37,2016,5,31,"1,215.85",121.55,404.75,63.91,303.4,463.75,2096.949951
48.82,2016,6,1,"1,214.30",121.9,413.75,63.22,296.5,473.5,2099.330078
49.12,2016,6,2,"1,212.50",123.0,415.25,63.16,296.8,485.5,2105.26001
48.47,2016,6,3,"1,244.55",127.1,418.25,63.84,301.8,497.75,2099.1298829999996
49.31,2016,6,6,"1,248.00",131.7,427.25,65.38,306.1,507.75,2109.409912
50.13,2016,6,7,"1,247.00",132.2,427.75,65.97,298.9,509.5,2112.1298829999996
51.18,2016,6,8,"1,265.50",139.65,431.25,65.56,292.7,520.0,2119.1201170000004
50.6,2016,6,9,"1,269.15",133.95,426.5,65.08,302.7,509.75,2115.47998
49.31,2016,6,10,"1,274.05",136.95,423.0,64.78,306.1,495.0,2096.070068
48.71,2016,6,13,"1,294.50",137.3,430.0,63.83,302.1,492.0,2079.060059
48.25,2016,6,14,"1,294.50",135.1,436.5,63.28,297.4,484.75,2075.320068
48.21,2016,6,15,"1,291.45",138.2,429.0,62.69,297.9,478.5,2071.5
46.45,2016,6,16,"1,277.50",139.5,425.25,63.31,301.8,472.5,2077.98999
47.57,2016,6,17,"1,301.35",140.75,437.75,64.5,298.0,481.5,2071.219971
49.14,2016,6,20,"1,290.15",139.5,421.25,66.1,299.8,473.75,2083.25
